kode,nama,program_kode,anggaran,satuan_kerja,satuan_kerja_id
2.07.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.07.01,1004670790,Dinas Tenaga Kerja dan Transmigrasi,1007
5.02.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",5.02.01,530363363,Badan Pengelolaan Keuangan dan Aset Daerah,1024
3.27.07.1.02,Pengembangan Penerapan Penyuluhan Pertanian,3.27.07,743160000,Dinas Ketahanan Pangan dan Peternakan,1017
1.02.01.1.10,Peningkatan Pelayanan BLUD,1.02.01,482724563519,Dinas Kesehatan,1004
2.16.01.1.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,2.16.01,720513175,Dinas Komunikasi dan Informatika,1022
5.02.01.1.05,Administrasi Kepegawaian Perangkat Daerah,5.02.01,211500000,Badan Pendapatan Daerah,1005
2.11.04.1.01,Pengelolaan Keanekaragaman Hayati Provinsi,2.11.04,339800000,Dinas Lingkungan Hidup,1034
4.01.06.1.01,Pengelolaan Kebijakan dan Koordinasi Perekonomian,4.01.06,1312780350,Sekretariat Daerah,1001
3.27.07.1.03,Pengembangan Kapasitas Kelembagaan Ekonomi Petani Berbasis Kawasan,3.27.07,2867228169,Dinas Perkebunan,1020
4.01.01.1.02,Administrasi Keuangan Perangkat Daerah,4.01.01,160900000000,Sekretariat Daerah,1001
4.01.02.1.01,Fasilitasi Kelembagaan dan Analisis Jabatan,4.01.02,1033097250,Biro Organisasi,100103010000
4.01.02.1.02,Fasilitasi Reformasi Birokrasi dan Akuntabilitas Kinerja,4.01.02,2926243798,Biro Organisasi,100103010000
4.01.03.1.01,Pelaksanaan Tugas Pemerintahan,4.01.03,1123832442,Biro Pemerintahan dan Otonomi Daerah,100101010000
4.01.03.1.02,Pelaksanaan Otonomi Daerah,4.01.03,3193883680,Biro Pemerintahan dan Otonomi Daerah,100101010000
4.01.03.1.03,Fasilitasi Kerjasama Daerah,4.01.03,24366028561,Biro Pemerintahan dan Otonomi Daerah,100101010000
4.01.04.1.01,Fasilitasi Pembinaan Mental Spiritual,4.01.04,218408956174,Biro Kesejahteraan Rakyat,100101030000
4.01.04.1.02,Fasilitasi Pengembangan Kesejahteraan Rakyat Pelayanan Dasar,4.01.04,87571907500,Biro Kesejahteraan Rakyat,100101030000
4.01.04.1.03,Fasilitasi Pengembangan Kesejahteraan Rakyat Non Pelayanan Dasar,4.01.04,1480000000,Biro Kesejahteraan Rakyat,100101030000
4.01.05.1.01,Fasilitasi Penyusunan Perundang-Undangan,4.01.05,3942218612,Biro Hukum dan Hak Asasi Manusia,100101020000
4.01.05.1.02,Fasilitasi Bantuan Hukum,4.01.05,2283793217,Biro Hukum dan Hak Asasi Manusia,100101020000
4.01.06.1.01,Pengelolaan Kebijakan dan Koordinasi Perekonomian,4.01.06,812780350,"Biro Badan Usaha Milik Daerah, Investasi dan Administrasi Pembangunan",100102020000
4.01.06.1.01,Pengelolaan Kebijakan dan Koordinasi Perekonomian,4.01.06,500000000,Biro Perekonomian,100102010000
4.01.06.1.02,Pengelolaan Kebijakan dan Koordinasi Sumber Daya Alam,4.01.06,1000000000,Biro Perekonomian,100102010000
4.01.06.1.03,Pengelolaan Kebijakan dan Koordinasi BUMD dan BLUD,4.01.06,3905441480,"Biro Badan Usaha Milik Daerah, Investasi dan Administrasi Pembangunan",100102020000
4.01.07.1.01,Pengelolaan Pengadaan Barang dan Jasa,4.01.07,868410000,Biro Pengadaan Barang/Jasa,100102030000
4.01.07.1.02,Pengelolaan Layanan Pengadaan Secara Elektronik,4.01.07,2084289800,Biro Pengadaan Barang/Jasa,100102030000
4.01.07.1.03,Pembinaan dan Advokasi Pengadaan Barang dan Jasa,4.01.07,1099767520,Biro Pengadaan Barang/Jasa,100102030000
4.01.08.1.01,Pengendalian Administrasi Pelaksanaan Pembangunan Daerah,4.01.08,797888680,"Biro Badan Usaha Milik Daerah, Investasi dan Administrasi Pembangunan",100102020000
4.01.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01,260408425,Biro Pemerintahan dan Otonomi Daerah,100101010000
4.01.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01,640087192,Biro Hukum dan Hak Asasi Manusia,100101020000
4.01.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01,2498307923,Biro Kesejahteraan Rakyat,100101030000
4.01.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01,609831776,Biro Perekonomian,100102010000
4.01.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01,49900000,Biro Pengadaan Barang/Jasa,100102030000
4.01.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01,125012240,Biro Administrasi Pimpinan,100103020000
4.01.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.01.01,1606800177,Biro Umum,100103030000
4.01.01.1.02,Administrasi Keuangan Perangkat Daerah,4.01.01,160900000000,Biro Umum,100103030000
4.01.01.1.03,Administrasi Barang Milik Daerah pada Perangkat Daerah,4.01.01,1489596516,Biro Umum,100103030000
4.01.01.1.05,Administrasi Kepegawaian Perangkat Daerah,4.01.01,468913167,Biro Kesejahteraan Rakyat,100101030000
4.01.01.1.05,Administrasi Kepegawaian Perangkat Daerah,4.01.01,145749178,"Biro Badan Usaha Milik Daerah, Investasi dan Administrasi Pembangunan",100102020000
4.01.01.1.05,Administrasi Kepegawaian Perangkat Daerah,4.01.01,250000000,Biro Pengadaan Barang/Jasa,100102030000
4.01.01.1.05,Administrasi Kepegawaian Perangkat Daerah,4.01.01,1831000000,Biro Umum,100103030000
4.01.01.1.06,Administrasi Umum Perangkat Daerah,4.01.01,628966619,Biro Pemerintahan dan Otonomi Daerah,100101010000
4.01.01.1.06,Administrasi Umum Perangkat Daerah,4.01.01,1457229449,Biro Hukum dan Hak Asasi Manusia,100101020000
4.01.01.1.06,Administrasi Umum Perangkat Daerah,4.01.01,1521373378,Biro Kesejahteraan Rakyat,100101030000
4.01.01.1.06,Administrasi Umum Perangkat Daerah,4.01.01,1795923387,"Biro Badan Usaha Milik Daerah, Investasi dan Administrasi Pembangunan",100102020000
4.01.01.1.06,Administrasi Umum Perangkat Daerah,4.01.01,2083071924,Biro Perekonomian,100102010000
4.01.01.1.06,Administrasi Umum Perangkat Daerah,4.01.01,1930190109,Biro Pengadaan Barang/Jasa,100102030000
4.01.01.1.06,Administrasi Umum Perangkat Daerah,4.01.01,1303595286,Biro Organisasi,100103010000
4.01.01.1.06,Administrasi Umum Perangkat Daerah,4.01.01,4502113272,Biro Administrasi Pimpinan,100103020000
4.01.01.1.06,Administrasi Umum Perangkat Daerah,4.01.01,26544942710,Biro Umum,100103030000
4.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,4.01.01,581510848,"Biro Badan Usaha Milik Daerah, Investasi dan Administrasi Pembangunan",100102020000
4.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,4.01.01,260899216,Biro Pengadaan Barang/Jasa,100102030000
4.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,4.01.01,58522855868,Biro Umum,100103030000
4.01.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,4.01.01,34219937094,Biro Umum,100103030000
4.01.01.1.11,Administrasi Keuangan dan Operasional Kepala Daerah dan Wakil Kepala Daerah,4.01.01,29226258234,Biro Umum,100103030000
4.01.01.1.12,Fasilitasi Kerumahtanggaan Sekretariat Daerah,4.01.01,27624987906,Biro Administrasi Pimpinan,100103020000
4.01.01.1.12,Fasilitasi Kerumahtanggaan Sekretariat Daerah,4.01.01,13931993086,Biro Umum,100103030000
4.01.01.1.13,Fasilitasi Materi dan Komunikasi Pimpinan,4.01.01,15977600892,Biro Administrasi Pimpinan,100103020000
4.01.01.1.14,Fasilitasi Keprotokolan,4.01.01,7632087674,Biro Administrasi Pimpinan,100103020000
